No,Nama Mahasiswa,Kampus,Prodi,Semester (1-6),Jam Tidur (0-11),Jam Bangun (0-12),Rata-Rata Screentime (0-18),Punya Pacar (Ya atau Tidak),Fekuensi Malam Minggu (0-3),Bermain Judol (Ya atau Tidak),Waktu Belajar (0-12),Pekerjaan Sampingan (Ya atau Tidak),IPK
423,Corresponden 423,Universitas 74,Teknik Elektronika,4,23:00:00,8:00:00,4,Ya,3,Ya,5,Tidak,3.63
424,Corresponden 424,Universitas 148,Teknik Logistik,2,23:00:00,5:00:00,4,Ya,1,Tidak,3,Tidak,2.72
425,Corresponden 425,Universitas 2,Teknik Informatika,2,0:00:00,9:00:00,6,Tidak,2,Tidak,3,Ya,3.3
426,Corresponden 426,Universitas 74,Sistem informasi,7,23:00:00,4:00:00,3,Ya,2,Tidak,3,Tidak,3.6
427,Corresponden 427,Universitas 51,Sistem Informasi,4,0:00:00,9:00:00,5,Tidak,2,Tidak,3,Ya,3.65
428,Corresponden 428,Universitas 51,Teknik Elektro,4,22:00:00,4:00:00,2,Tidak,2,Tidak,3,Tidak,3.55
429,Corresponden 429,Universitas 156,administrasi negara,5,20:00:00,5:00:00,7,Ya,3,Tidak,3,Tidak,3.4
430,Corresponden 430,Universitas 33,Manajemen bisnis,4,22:00:00,6:00:00,8,Ya,1,Tidak,1,Tidak,3.8
431,Corresponden 431,Universitas 61,Teknik Kimia,2,0:00:00,7:00:00,4,Tidak,3,Tidak,7,Tidak,3.32
432,Corresponden 432,Universitas 19,Teknik Industri,4,20:00:00,3:00:00,0,Ya,0,Tidak,7,Ya,3.92
433,Corresponden 433,Universitas 1,Hukum Ekonomi Syariah,2,4:00:00,12:00:00,8,Tidak,1,Tidak,3,Tidak,3.44
434,Corresponden 434,Universitas 95,Ilmu Hukum,4,1:00:00,7:00:00,5,Tidak,3,Tidak,3,Ya,3.32
435,Corresponden 435,Universitas 51,manajemen,5,0:00:00,10:00:00,11,Tidak,1,Ya,1,Tidak,3.5
436,Corresponden 436,Universitas 157,Sistem Informasi,5,22:00:00,4:00:00,8,Ya,1,Tidak,1,Tidak,3.46
437,Corresponden 437,Universitas 5,Teknik Elektromedik,2,0:00:00,6:00:00,2,Tidak,1,Tidak,5,Tidak,2.89
438,Corresponden 438,Universitas 87,Pembangkit Tenaga Listrik,6,22:00:00,4:00:00,2,Ya,2,Ya,3,Ya,3.29
439,Corresponden 439,Universitas 64,Pendidikan Agama Islam,6,22:00:00,4:00:00,5,Tidak,1,Tidak,5,Tidak,3.86
440,Corresponden 440,Universitas 11,Teknologi Rekayasa Otomotif,2,1:00:00,4:00:00,16,Ya,2,Tidak,9,Tidak,3.5
441,Corresponden 441,Universitas 16,Akuntansi Syari'ah,2,22:00:00,6:00:00,5,Tidak,2,Tidak,4,Tidak,3.78
442,Corresponden 442,Universitas 158,Sastra Inggris,4,23:00:00,5:00:00,5,Tidak,1,Tidak,5,Tidak,3.56
443,Corresponden 443,Universitas 70,Psikologi,2,0:00:00,8:00:00,5,Tidak,3,Tidak,1,Ya,3.5
444,Corresponden 444,Universitas 15,Hukum,6,20:00:00,3:00:00,6,Tidak,1,Tidak,6,Tidak,4
445,Corresponden 445,Universitas 6,Teknik Sipil,4,22:00:00,3:00:00,1,Tidak,0,Tidak,5,Ya,3.83
446,Corresponden 446,Universitas 52,Teknik Elektro,6,23:00:00,6:00:00,4,Tidak,2,Tidak,3,Tidak,2.5
447,Corresponden 447,Universitas 159,Kebidanan,6,21:00:00,5:00:00,12,Tidak,2,Tidak,3,Tidak,3.8
448,Corresponden 448,Universitas 160,Biologi,8,22:00:00,6:00:00,7,Ya,3,Tidak,1,Ya,3.4
449,Corresponden 449,Universitas 25,Akuntansi Perpajakan,2,21:00:00,5:00:00,4,Tidak,1,Tidak,3,Ya,3.5
450,Corresponden 450,Universitas 74,Psikologi,4,22:00:00,8:00:00,2,Ya,1,Tidak,5,Tidak,3.7
451,Corresponden 451,Universitas 103,Administrasi Publik,2,23:00:00,6:00:00,4,Ya,2,Tidak,3,Tidak,3.78
452,Corresponden 452,Universitas 51,Statistika,2,22:00:00,5:00:00,6,Tidak,2,Tidak,9,Tidak,3.54
453,Corresponden 453,Universitas 161,Akuntasi,2,1:00:00,5:00:00,12,Tidak,2,Tidak,10,Ya,4
454,Corresponden 454,Universitas 161,Ilmu Hukum,4,23:00:00,5:00:00,2,Ya,1,Tidak,7,Ya,3.65
455,Corresponden 455,Universitas 47,Farmasi,8,23:00:00,5:00:00,6,Ya,1,Tidak,7,Tidak,3.32
456,Corresponden 456,Universitas 41,Pendidikan Guru Sekolah Dasar,2,0:00:00,5:00:00,8,Tidak,2,Tidak,7,Tidak,3.69
457,Corresponden 457,Universitas 162,Teknik Sipil,2,23:00:00,8:00:00,5,Tidak,1,Tidak,3,Tidak,3.5
458,Corresponden 458,Universitas 53,Teknik Industri,2,21:00:00,4:00:00,5,Ya,3,Tidak,3,Ya,3.5
459,Corresponden 459,Universitas 163,Supervisor Jaminan Mutu Pangan,8,23:00:00,4:00:00,6,Ya,2,Tidak,7,Tidak,3.71
460,Corresponden 460,Universitas 105,Budidaya Perairan,2,22:00:00,4:00:00,5,Tidak,0,Tidak,4,Tidak,3.9
461,Corresponden 461,Universitas 15,Penyuluhan dan Komunikasi Pertanian,2,1:00:00,5:00:00,5,Tidak,1,Tidak,3,Tidak,3.54
462,Corresponden 462,Universitas 164,Sastra Inggris,2,22:00:00,4:00:00,3,Tidak,1,Tidak,1,Tidak,3
463,Corresponden 463,Universitas 19,Psikologi,4,22:00:00,6:00:00,5,Tidak,0,Tidak,3,Tidak,3.92
464,Corresponden 464,Universitas 5,Teknil Elektromedik,2,22:00:00,5:00:00,2,Tidak,1,Tidak,3,Tidak,3.87
465,Corresponden 465,Universitas 36,Ilmu Kedokteran Jiwa,8,19:00:00,6:00:00,7,Tidak,1,Tidak,3,Tidak,3.35
466,Corresponden 466,Universitas 1,Pendidikan Guru Madrasah Ibtidaiyah,2,21:00:00,5:00:00,5,Tidak,1,Tidak,5,Tidak,3.82
467,Corresponden 467,Universitas 96,Pertanian,6,22:00:00,5:00:00,4,Ya,1,Tidak,4,Tidak,3.4
468,Corresponden 468,Universitas 27,Manajemen,2,22:00:00,4:00:00,5,Tidak,1,Tidak,5,Tidak,3.6
469,Corresponden 469,Universitas 148,Desain Komunikasi Visual,2,22:00:00,5:00:00,6,Tidak,1,Tidak,9,Tidak,3.77
470,Corresponden 470,Universitas 35,Relasi Industri,8,22:00:00,6:00:00,6,Tidak,2,Tidak,7,Tidak,3.82
471,Corresponden 471,Universitas 165,Farmasi,2,21:00:00,3:00:00,5,Tidak,2,Tidak,5,Tidak,3.85
472,Corresponden 472,Universitas 20,Kebidanan,2,1:00:00,3:00:00,4,Tidak,1,Tidak,5,Tidak,3.89
473,Corresponden 473,Universitas 6,Psikologi,4,22:00:00,5:00:00,8,Ya,3,Tidak,5,Ya,3.9
474,Corresponden 474,Universitas 7,Ilmu Komputer,8,22:00:00,6:00:00,7,Tidak,2,Tidak,3,Tidak,3.2
475,Corresponden 475,Universitas 1,Hukum Tata Negara,4,22:00:00,6:00:00,5,Tidak,2,Tidak,1,Tidak,3.46
476,Corresponden 476,Universitas 166,Hubungan Internasional,2,23:00:00,5:00:00,4,Ya,3,Tidak,4,Tidak,3.47
477,Corresponden 477,Universitas 157,Teknik Elektronika,4,19:00:00,4:00:00,7,Ya,2,Tidak,3,Ya,3.5
478,Corresponden 478,Universitas 24,Sistem Informasi,2,23:00:00,9:00:00,5,Tidak,1,Tidak,7,Ya,3.24
479,Corresponden 479,Universitas 33,Pendidikan Bahasa Inggris,4,23:00:00,8:00:00,8,Ya,3,Tidak,9,Tidak,3.26
480,Corresponden 480,Universitas 167,Psikologi,8,21:00:00,5:00:00,8,Ya,2,Tidak,3,Tidak,3.25
481,Corresponden 481,Universitas 72,Pendidikan Bahasa Inggris,2,21:00:00,4:00:00,3,Tidak,1,Tidak,7,Tidak,3.8
482,Corresponden 482,Universitas 96,Ilmu Komunikasi,2,23:00:00,5:00:00,6,Ya,2,Tidak,5,Tidak,3.8
483,Corresponden 483,Universitas 27,Teknik Informatika,2,23:00:00,5:00:00,4,Ya,2,Tidak,5,Ya,3.56
484,Corresponden 484,Universitas 5,Teknik Elektromedik,2,23:00:00,5:00:00,5,Tidak,1,Tidak,5,Tidak,3.43
485,Corresponden 485,Universitas 15,Akuntansi,2,23:00:00,9:00:00,8,Ya,1,Tidak,1,Tidak,3.77
486,Corresponden 486,Universitas 168,Usaha Perjalanan Wisata,2,22:00:00,5:00:00,8,Tidak,1,Tidak,7,Tidak,3.58
487,Corresponden 487,Universitas 74,Sistem Komputer,4,23:00:00,9:00:00,7,Ya,1,Tidak,3,Tidak,3.3
488,Corresponden 488,Universitas 18,Bisnis Digital,2,23:00:00,5:00:00,5,Ya,1,Tidak,9,Tidak,3.88
489,Corresponden 489,Universitas 15,Kehutanan,2,1:00:00,4:00:00,2,Tidak,1,Tidak,3,Tidak,3.87
490,Corresponden 490,Universitas 27,Teknik Informatika,4,23:00:00,5:00:00,6,Ya,3,Tidak,1,Ya,3.2
491,Corresponden 491,Universitas 169,Teknik Industri,2,23:00:00,5:00:00,5,Tidak,1,Tidak,3,Ya,3.7
492,Corresponden 492,Universitas 24,Periklanan,6,22:00:00,5:00:00,6,Tidak,0,Tidak,7,Tidak,3.79
493,Corresponden 493,Universitas 51,Statistika,2,22:00:00,5:00:00,6,Tidak,1,Ya,5,Tidak,3.78
494,Corresponden 494,Universitas 32,Manajemen Pendidikan Islam,2,23:00:00,4:00:00,4,Tidak,2,Tidak,5,Tidak,3.67
495,Corresponden 495,Universitas 9,Teknik Informatika,2,23:00:00,6:00:00,2,Ya,1,Tidak,1,Ya,3.7
496,Corresponden 496,Universitas 18,Broadcasting,8,22:00:00,6:00:00,7,Tidak,2,Tidak,1,Ya,3.56
497,Corresponden 497,Universitas 170,Akuntansi,4,23:00:00,5:00:00,5,Tidak,2,Tidak,3,Tidak,3.72
498,Corresponden 498,Universitas 27,Manajemen keuangan,8,22:00:00,5:00:00,7,Tidak,3,Tidak,1,Tidak,3.6
499,Corresponden 499,Universitas 103,Kimia,4,22:00:00,4:00:00,6,Tidak,1,Tidak,5,Tidak,3.77
500,Corresponden 500,Universitas 96,Ilmu Komunikasi,6,23:00:00,5:00:00,4,Tidak,1,Tidak,1,Ya,3.79
501,Corresponden 501,Universitas 171,Manajemen Sumber Daya Manusia,8,22:00:00,5:00:00,8,Tidak,1,Tidak,1,Tidak,3.88
502,Corresponden 502,Universitas 18,Pendidikan Kimia,2,21:00:00,4:00:00,5,Tidak,1,Tidak,5,Tidak,3.79
503,Corresponden 503,Universitas 88,Kewirausahaan,4,23:00:00,5:00:00,5,Tidak,2,Tidak,5,Tidak,3.92
504,Corresponden 504,Universitas 70,Kebidanan,4,22:00:00,5:00:00,2,Ya,1,Tidak,3,Ya,4
505,Corresponden 505,Universitas 33,Fisioterapi,4,23:00:00,6:00:00,7,Ya,1,Tidak,1,Tidak,3.6
506,Corresponden 506,Universitas 27,Teknik Informatika,4,23:00:00,5:00:00,6,Tidak,2,Tidak,5,Tidak,3.55
507,Corresponden 507,Universitas 172,SIA,8,19:00:00,5:00:00,9,Ya,1,Tidak,1,Ya,3.7
508,Corresponden 508,Universitas 173,Manajemen,7,22:00:00,5:00:00,4,Ya,1,Tidak,7,Ya,3.55
509,Corresponden 509,Universitas 174,Perhotelan,6,23:00:00,5:00:00,3,Ya,2,Tidak,3,Ya,3.23
510,Corresponden 510,Universitas 77,Bimbingan dan Konseling,2,0:00:00,5:00:00,5,Tidak,2,Tidak,1,Tidak,3.8
511,Corresponden 511,Universitas 36,Kedokteran,3,20:00:00,8:00:00,3,Ya,1,Tidak,2,Tidak,3.67
512,Corresponden 512,Universitas 101,Teknik Mesin dan Biosistem,2,3:00:00,5:00:00,2,Tidak,3,Tidak,5,Ya,3.87
513,Corresponden 513,Universitas 45,Pariwisata,2,0:00:00,8:00:00,4,Tidak,2,Tidak,5,Ya,3.97
514,Corresponden 514,Universitas 139,Hospital Pariwisata,2,2:00:00,7:00:00,9,Tidak,3,Tidak,1,Ya,3.2
515,Corresponden 515,Universitas 103,Teknik Informatika,4,23:00:00,8:00:00,6,Tidak,1,Tidak,5,Tidak,3.92
516,Corresponden 516,Universitas 17,Matematika,4,0:00:00,8:00:00,6,Tidak,1,Tidak,5,Ya,3.3
517,Corresponden 517,Universitas 134,Pendidikan Bahasa Jerman,2,23:00:00,5:00:00,6,Tidak,1,Tidak,5,Tidak,3.58
518,Corresponden 518,Universitas 37,Sistem Informasi,4,0:00:00,5:00:00,6,Ya,2,Tidak,3,Ya,3.6
519,Corresponden 519,Universitas 36,Teknik Elektro,2,23:00:00,3:00:00,4,Tidak,1,Tidak,3,Tidak,3.73
520,Corresponden 520,Universitas 5,Elektromedis,2,22:00:00,4:00:00,5,Tidak,3,Tidak,9,Tidak,3.47
521,Corresponden 521,Universitas 51,Keperawatan,4,22:00:00,5:00:00,5,Tidak,1,Tidak,5,Tidak,3.66
522,Corresponden 522,Universitas 175,Teknik Informatika,2,1:00:00,6:00:00,13,Tidak,2,Tidak,5,Ya,3.35
523,Corresponden 523,Universitas 25,Akuntansi Perpajakan,6,23:00:00,5:00:00,4,Ya,2,Tidak,3,Ya,3.25
524,Corresponden 524,Universitas 97,Teknik Metalurgi,2,23:00:00,5:00:00,2,Ya,1,Tidak,1,Tidak,3.75
525,Corresponden 525,Universitas 176,psikologi,4,3:00:00,12:00:00,6,Tidak,1,Tidak,3,Tidak,3.7
526,Corresponden 526,Universitas 30,Teknik Kendaraan Ringan,2,22:00:00,6:00:00,4,Ya,1,Tidak,1,Ya,3.71
527,Corresponden 527,Universitas 113,Kesehatan Masyarakat,2,22:00:00,5:00:00,5,Tidak,1,Tidak,1,Tidak,4
528,Corresponden 528,Universitas 177,Bimbingan Konseling,2,22:00:00,5:00:00,6,Tidak,1,Tidak,7,Tidak,3.47
529,Corresponden 529,Universitas 103,Teknik Mesin,2,3:00:00,8:00:00,1,Tidak,1,Tidak,3,Tidak,3.18
530,Corresponden 530,Universitas 178,Teknik Informatika,2,0:00:00,6:00:00,5,Tidak,2,Tidak,5,Ya,3.26
531,Corresponden 531,Universitas 96,Proteksi Tanaman,2,22:00:00,4:00:00,6,Tidak,1,Tidak,5,Tidak,3.83
532,Corresponden 532,Universitas 5,Teknik Elektromedik,2,1:00:00,4:00:00,4,Tidak,1,Tidak,5,Tidak,3.74
533,Corresponden 533,Universitas 52,Teknik Sipil,2,22:00:00,5:00:00,6,Tidak,2,Tidak,9,Tidak,2.88
534,Corresponden 534,Universitas 132,Hukum,2,22:00:00,5:00:00,16,Ya,1,Tidak,7,Tidak,3.75
535,Corresponden 535,Universitas 12,Teknik Informatika,2,23:00:00,5:00:00,4,Tidak,2,Tidak,5,Tidak,3.65
536,Corresponden 536,Universitas 179,Pendidikan Ekonomi,2,0:00:00,6:00:00,6,Tidak,1,Tidak,5,Tidak,3.5
537,Corresponden 537,Universitas 51,Teknik Mesin,6,22:00:00,8:00:00,4,Ya,2,Tidak,1,Ya,3.15
538,Corresponden 538,Universitas 9,Public Relations,2,22:00:00,5:00:00,4,Tidak,1,Tidak,1,Tidak,3.64
539,Corresponden 539,Universitas 161,Teknologi Informasi,2,23:00:00,6:00:00,4,Tidak,0,Tidak,1,Ya,3.79
540,Corresponden 540,Universitas 9,Teknik Informatika,2,22:00:00,6:00:00,2,Tidak,1,Tidak,1,Ya,3.15
541,Corresponden 541,Universitas 2,Teknik Informatika,4,0:00:00,6:00:00,4,Tidak,1,Tidak,1,Ya,3.71
542,Corresponden 542,Universitas 9,Teknik Informatika,2,23:00:00,6:00:00,8,Tidak,3,Tidak,9,Ya,3.45
543,Corresponden 543,Universitas 180,Sistem Informasi,2,23:00:00,6:00:00,6,Tidak,2,Tidak,3,Tidak,3.75
544,Corresponden 544,Universitas 6,Teknik Biomedis,4,23:00:00,8:00:00,2,Ya,3,Tidak,3,Ya,3.79
545,Corresponden 545,Universitas 16,Psikologi,2,21:00:00,5:00:00,8,Tidak,1,Tidak,4,Tidak,3.85
546,Corresponden 546,Universitas 51,Manajemen,8,23:00:00,5:00:00,5,Ya,1,Tidak,7,Ya,3.74
547,Corresponden 547,Universitas 36,Sastra Bahasa Inggris,2,22:00:00,4:00:00,6,Tidak,1,Tidak,3,Ya,2.3
548,Corresponden 548,Universitas 11,Administrasi Bisnis Otomotif,2,23:00:00,4:00:00,6,Ya,3,Tidak,5,Ya,3.52
549,Corresponden 549,Universitas 33,Hukum,6,22:00:00,5:00:00,6,Tidak,3,Tidak,5,Ya,3.98
550,Corresponden 550,Universitas 40,Sistem informasi,2,0:00:00,8:00:00,5,Tidak,3,Tidak,1,Tidak,3.5
551,Corresponden 551,Universitas 181,Matematika,8,22:00:00,6:00:00,7,Ya,3,Tidak,3,Tidak,3.45
552,Corresponden 552,Universitas 164,Teknik Arsitektur,2,23:00:00,5:00:00,4,Ya,1,Tidak,1,Ya,3.52
553,Corresponden 553,Universitas 179,Teknik Informatika,2,22:00:00,5:00:00,4,Tidak,1,Tidak,5,Tidak,3.75
554,Corresponden 554,Universitas 27,Teknik Informatika,4,1:00:00,4:00:00,2,Tidak,1,Tidak,5,Tidak,3.43
555,Corresponden 555,Universitas 95,Teknik Geologi,2,3:00:00,5:00:00,10,Tidak,1,Tidak,5,Tidak,3.63
556,Corresponden 556,Universitas 182,Pendidikan Bahasa Inggris,4,23:00:00,6:00:00,5,Tidak,1,Tidak,5,Tidak,3.85
557,Corresponden 557,Universitas 24,Ilmu Komunikasi Broadcasting,2,0:00:00,10:00:00,6,Ya,1,Tidak,3,Ya,4
558,Corresponden 558,Universitas 26,S1- Pendidikan Geografi,2,19:00:00,5:00:00,8,Ya,0,Tidak,1,Tidak,3.25
559,Corresponden 559,Universitas 183,Ilmu komunikasi,4,3:00:00,9:00:00,8,Ya,3,Tidak,1,Tidak,3.2
560,Corresponden 560,Universitas 92,Teknologi Informasi,2,22:00:00,4:00:00,6,Tidak,1,Tidak,5,Ya,3.55
561,Corresponden 561,Universitas 184,Ilmu Sejarah,2,22:00:00,6:00:00,4,Tidak,1,Tidak,7,Ya,3.85
562,Corresponden 562,Universitas 8,Peternakan,4,22:00:00,4:00:00,4,Ya,1,Tidak,3,Tidak,3.56
563,Corresponden 563,Universitas 6,IT,4,23:00:00,8:00:00,8,Ya,3,Ya,3,Ya,3.4
564,Corresponden 564,Universitas 95,Teknologi Hasil Pertanian,2,21:00:00,5:00:00,6,Tidak,1,Tidak,9,Tidak,3.52
565,Corresponden 565,Universitas 2,Teknik Informatika,2,22:00:00,5:00:00,7,Tidak,1,Tidak,1,Tidak,3.53
566,Corresponden 566,Universitas 27,Teknik Informatika,2,21:00:00,5:00:00,7,Tidak,0,Tidak,7,Ya,3.22
567,Corresponden 567,Universitas 136,Teknik Elektro,8,22:00:00,5:00:00,7,Ya,2,Tidak,3,Ya,3.76
568,Corresponden 568,Universitas 13,Teknik Elektronika,4,22:00:00,5:00:00,5,Ya,1,Tidak,5,Tidak,3.3
569,Corresponden 569,Universitas 18,Pendidikan Ilmu Komputer,2,22:00:00,5:00:00,3,Tidak,2,Tidak,5,Ya,3.76
570,Corresponden 570,Universitas 185,Hukum Internasional,4,4:00:00,10:00:00,8,Tidak,3,Ya,1,Ya,3.5
571,Corresponden 571,Universitas 186,Akuntansi,2,0:00:00,5:00:00,6,Ya,1,Tidak,7,Tidak,3.66
572,Corresponden 572,Universitas 136,Ilmu Politik,2,0:00:00,5:00:00,3,Tidak,1,Tidak,2,Tidak,3.68
573,Corresponden 573,Universitas 5,Rekayasa Teknik elektromedik,2,23:00:00,6:00:00,2,Tidak,3,Tidak,5,Tidak,3.69
574,Corresponden 574,Universitas 122,Komunikasi dan Penyiaran Islam,2,22:00:00,7:00:00,5,Tidak,2,Tidak,9,Tidak,3.6
575,Corresponden 575,Universitas 96,Agroteknologi,6,0:00:00,4:00:00,5,Tidak,1,Tidak,1,Tidak,3.65
576,Corresponden 576,Universitas 61,Teknik Biomedis,2,1:00:00,7:00:00,6,Tidak,1,Tidak,5,Tidak,3.26
577,Corresponden 577,Universitas 28,Kedokteran,4,23:00:00,5:00:00,4,Tidak,3,Tidak,5,Tidak,3.5
578,Corresponden 578,Universitas 187,Terapis Gigi dan Mulut,2,21:00:00,4:00:00,5,Ya,1,Tidak,1,Tidak,3.5
579,Corresponden 579,Universitas 188,Keperawatan,4,23:00:00,8:00:00,5,Tidak,1,Tidak,4,Tidak,3.68
580,Corresponden 580,Universitas 18,Bisnis Digital,2,22:00:00,4:00:00,4,Ya,1,Tidak,7,Tidak,4
581,Corresponden 581,Universitas 182,Pendidikan Matematika,8,23:00:00,5:00:00,6,Ya,1,Tidak,7,Tidak,3.87
582,Corresponden 582,Universitas 51,Teknik Metalurgi,2,22:00:00,4:00:00,2,Ya,1,Tidak,2,Tidak,3.34
583,Corresponden 583,Universitas 27,Sistem Informasi,2,0:00:00,5:00:00,5,Tidak,2,Tidak,5,Tidak,3.63
584,Corresponden 584,Universitas 103,Hukum,8,22:00:00,5:00:00,8,Ya,3,Tidak,3,Tidak,3.45
585,Corresponden 585,Universitas 18,Film dan Televisi,4,23:00:00,8:00:00,5,Tidak,2,Ya,3,Ya,3.8
586,Corresponden 586,Universitas 47,Teknik Industri,8,0:00:00,7:00:00,4,Tidak,1,Tidak,7,Tidak,3.64
587,Corresponden 587,Universitas 11,Sistem Informasi,2,23:00:00,4:00:00,6,Tidak,3,Tidak,5,Tidak,3.2
588,Corresponden 588,Universitas 6,Teknik Biomedis,4,23:00:00,5:00:00,1,Tidak,0,Tidak,7,Tidak,3.93
589,Corresponden 589,Universitas 87,Multimedia,6,22:00:00,2:00:00,5,Ya,3,Tidak,3,Tidak,3.41
590,Corresponden 590,Universitas 189,Ilmu Komunikasi,4,23:00:00,4:00:00,6,Tidak,1,Tidak,5,Tidak,3.3
591,Corresponden 591,Universitas 9,Teknik Informatika,2,1:00:00,6:00:00,6,Tidak,2,Tidak,5,Ya,3.2
592,Corresponden 592,Universitas 40,Teknik Elektro,1,5:00:00,10:00:00,3,Ya,1,Tidak,9,Tidak,2.54
593,Corresponden 593,Universitas 61,Teknik Kimia,2,23:00:00,4:00:00,4,Tidak,2,Tidak,7,Tidak,3.23
594,Corresponden 594,Universitas 41,Pendidikan Guru Sekolah Dasar,8,3:00:00,10:00:00,10,Tidak,3,Ya,1,Tidak,3.45
595,Corresponden 595,Universitas 15,Kehutanan,2,21:00:00,3:00:00,6,Ya,2,Tidak,3,Ya,3.92
596,Corresponden 596,Universitas 51,Teknik Perikanan,8,23:00:00,5:00:00,4,Tidak,0,Tidak,5,Ya,3.2
597,Corresponden 597,Universitas 64,Akuntansi Sektor Publik,2,0:00:00,6:00:00,6,Tidak,1,Tidak,3,Tidak,3.66
598,Corresponden 598,Universitas 8,Bisnis Internasional,1,4:00:00,8:00:00,8,Tidak,3,Ya,1,Ya,3.6
599,Corresponden 599,Universitas 148,Teknik Telekomunikasi,4,23:00:00,6:00:00,4,Ya,1,Tidak,5,Tidak,3.77
600,Corresponden 600,Universitas 11,Sistem Informasi Industri Otomotif,2,22:00:00,5:00:00,6,Tidak,1,Tidak,3,Tidak,3.85
601,Corresponden 601,Universitas 116,Hukum Bisnis,2,23:00:00,6:00:00,6,Tidak,2,Tidak,5,Ya,3.95
602,Corresponden 602,Universitas 177,Teknik Informatika,6,23:00:00,7:00:00,5,Ya,1,Tidak,7,Tidak,3.67
603,Corresponden 603,Universitas 33,Ilmu Komunikasi,2,22:00:00,5:00:00,3,Tidak,1,Tidak,3,Tidak,3.2
604,Corresponden 604,Universitas 43,Bisnis Digital,2,23:00:00,5:00:00,5,Ya,2,Tidak,5,Tidak,3
605,Corresponden 605,Universitas 27,Akuntansi,2,22:00:00,5:00:00,1,Tidak,1,Tidak,1,Ya,3.53
606,Corresponden 606,Universitas 52,Teknik Konversi Energi,4,23:00:00,5:00:00,4,Ya,2,Tidak,5,Tidak,2.98
607,Corresponden 607,Universitas 105,pendidikan sejarah,2,22:00:00,4:00:00,2,Tidak,1,Tidak,3,Tidak,4
608,Corresponden 608,Universitas 29,Gizi,2,23:00:00,5:00:00,6,Tidak,2,Tidak,3,Ya,3.49
609,Corresponden 609,Universitas 116,Akuntansi,2,21:00:00,5:00:00,7,Tidak,1,Tidak,3,Tidak,3.9
610,Corresponden 610,Universitas 190,Kebidanan,4,22:00:00,5:00:00,2,Ya,2,Tidak,3,Tidak,3.16
611,Corresponden 611,Universitas 8,Ilmu Komunikasi,8,19:00:00,4:00:00,6,Tidak,1,Tidak,3,Tidak,3.65
612,Corresponden 612,Universitas 21,Ekonomi,2,22:00:00,5:00:00,3,Ya,2,Tidak,5,Ya,3.3
613,Corresponden 613,Universitas 191,Teknik Industri,2,0:00:00,3:00:00,5,Tidak,1,Tidak,5,Tidak,3.75
614,Corresponden 614,Universitas 44,Farmasi Klinik dan Komunitas,2,23:00:00,5:00:00,5,Tidak,1,Tidak,9,Tidak,3.58
615,Corresponden 615,Universitas 112,Teknik Informatika,2,22:00:00,6:00:00,6,Tidak,1,Tidak,5,Tidak,3.75
616,Corresponden 616,Universitas 192,Akuntansi,8,22:00:00,4:00:00,4,Tidak,0,Tidak,7,Tidak,3.48
617,Corresponden 617,Universitas 6,Computer Science,4,0:00:00,5:00:00,6,Tidak,1,Tidak,5,Tidak,3.61
618,Corresponden 618,Universitas 177,Desain dan Komunikasi Visual,2,23:00:00,2:00:00,10,Tidak,1,Tidak,3,Tidak,3.5
619,Corresponden 619,Universitas 37,Sistem Informasi,4,23:00:00,5:00:00,6,Tidak,1,Tidak,3,Tidak,3.7
620,Corresponden 620,Universitas 193,Manajemen,2,21:00:00,4:00:00,2,Ya,2,Tidak,1,Ya,3.55
621,Corresponden 621,Universitas 101,Matematika,8,22:00:00,5:00:00,7,Tidak,1,Tidak,3,Tidak,3.56
622,Corresponden 622,Universitas 51,Teknik Elektro,2,23:00:00,5:00:00,9,Tidak,1,Tidak,3,Tidak,3.2
623,Corresponden 623,Universitas 194,Teknik Dirgantara,2,23:00:00,5:00:00,6,Tidak,1,Tidak,5,Tidak,3.84
624,Corresponden 624,Universitas 195,Pendidikan Guru Sekolah Dasar,4,22:00:00,6:00:00,4,Tidak,1,Tidak,9,Tidak,3.8
625,Corresponden 625,Universitas 54,Ilmu Komunikasi,2,22:00:00,4:00:00,4,Tidak,2,Tidak,3,Tidak,4
626,Corresponden 626,Universitas 136,Matematika,8,19:00:00,6:00:00,6,Tidak,1,Tidak,3,Ya,3.78
627,Corresponden 627,Universitas 178,Manajemen,2,1:00:00,4:00:00,2,Ya,2,Tidak,9,Ya,3.73
628,Corresponden 628,Universitas 99,Akuntansi,3,0:00:00,8:00:00,6,Ya,1,Tidak,3,Ya,3.25
629,Corresponden 629,Universitas 95,Akuntansi,8,22:00:00,4:00:00,11,Ya,1,Tidak,1,Tidak,3.68
630,Corresponden 630,Universitas 2,Sistem Komputer,3,22:00:00,5:00:00,6,Tidak,1,Tidak,3,Ya,3.5
631,Corresponden 631,Universitas 196,Perencanaan Wilayah dan Kota,2,22:00:00,1:00:00,6,Tidak,0,Tidak,9,Tidak,3.8
632,Corresponden 632,Universitas 18,Pendidikan Guru Sekolah Dasar,2,22:00:00,4:00:00,9,Tidak,1,Tidak,5,Tidak,3.8
633,Corresponden 633,Universitas 74,Psikologi,2,21:00:00,4:00:00,5,Ya,2,Tidak,3,Tidak,3.87
634,Corresponden 634,Universitas 29,Gizi,2,23:00:00,8:00:00,10,Tidak,1,Tidak,5,Ya,3.55
